Ad report
"April 16, 2026 - May 15, 2026"
Ad status,Final URL,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Portrait image ID,Logo ID,Business name,Display Network image ID,Call to action text,Video ID,Ad name,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Ad strength,Ad strength improvements,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Conv. rate,Conversions,Cost / conv.
Enabled,https://www.ldndecks.com/composite-decks/, --, --, --, --, --,Custom Trex Decks, --,Trex Composite Decks, --,Built For NoVA Homes, --,Call For A Deck Quote, --,25+ Year Materials, --,Hidden Fasteners, --,Premium Deck Builder, --,Decks Built Right, --,HOA Help Included, --,Schedule A Call, --, --, --, --, --, --, --, --, --, --, --,"Get a custom Trex deck built with premium materials, clean details, and a clear process.", --,"From layout to final walkthrough, our team manages the full composite deck project.", --,"Call-first estimates for serious deck projects in Loudoun, Fairfax, and Prince William.", --,Replace annual staining with a low-maintenance outdoor space built to last., --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Composite | 3 Counties | Calls,Trex,Eligible,,Responsive search ad,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions,USD,0.00,8,0,0.00%,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://www.ldndecks.com/composite-decks/, --, --, --, --, --,AZEK Composite Decks, --,TimberTech Deck Pros, --,Low-Maintenance Decks, --,Call For Pricing, --,Built In 2-4 Weeks, --,HOA Approval Help, --,Custom Deck Designs, --,Premium Rail Options, --,No Staining Needed, --,Schedule Estimate, --, --, --, --, --, --, --, --, --, --, --,Upgrade to capped composite or PVC decking with hidden fasteners and premium railings., --,"We help with layout, materials, county permits, and HOA submissions from start to finish.", --,Call LDN Decks for a serious deck replacement or new composite build estimate., --,"Designed for Northern Virginia heat, moisture, and long-term curb appeal.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,USD,0,0,0, --,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://www.ldndecks.com/services/deck-replacement/, --, --, --, --, --,Rebuild Your Deck, --,Old Deck To New Deck, --,Full Tear-Down & Rebuild, --,Call For Estimate, --,Decks From $15k+, --,HOA Approval Help, --,Trex & TimberTech, --,Before & After Results, --,Safe Code-Compliant Decks, --,Free Deck Evaluation, --, --, --, --, --, --, --, --, --, --, --,"If your deck is rotting, bouncing, or unsafe, replacement is often the smarter investment.", --,"We rebuild old decks with modern framing, composite boards, railings, and clean details.", --,See before-and-after transformations and get a practical budget and timeline., --,Serving serious deck replacement projects across three Northern Virginia counties., --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,Eligible,,Responsive search ad,Poor,Try including more keywords in your headlines,USD,4729.50,20,3,15.00%,31.53,94.59,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://ldndecks.com/top-decks-build-near-you/deck-builder-in-falls-church/, --, --, --, --, --,Deck Builder in Falls Church, --,A Local Deck Builder, --,A Trusted Deck Builder, --,Composite Decks, --,Get a custom deck, --,Custom Wood Decks, --,Custom Decks in Falls Church, --,Custom Decks by Loudoun Decks, --,"Wood Decks in Falls Church, VA", --,Get Free Deck Estimate, --,Contact Loudoun Decks today, --,Deсks, --,"Falls Church, VA", --,Call For a Free Estimate, --,Request A Free Estimate Today, --,Custom deck builder in Loudoun County VA, --,Deck Builder in Falls Church - Loudoun - Deсks, --,Custom Wood And Composite Deck Construction, --,Custom Wood And Composite Deck Building Services In Leesburg VA By Loudoun Decks, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Premium Composite Decks,Ad group 1,Not eligible,campaign paused,Responsive search ad,Excellent,,USD,757.55,"1,335",123,9.21%,8.22,1011.33,0.00,0,0.00,10.57%,13.00,77.79
Enabled,https://www.ldndecks.com/services/deck-replacement/, --, --, --, --, --,Deck Replacement, --,Projects From $15k+, --,Replace Your Old Deck, --,Call LDN Decks Today, --,Permits & HOA Handled, --,Typical 2-4 Week Build, --,5.0 Rated Contractor, --,Composite Upgrades, --,Free Structural Check, --,Northern VA Deck Pros, --, --, --, --, --, --, --, --, --, --, --,"Replace an aging wood deck with a safer, low-maintenance composite outdoor space.", --,"Projects from $15k+. We handle tear-down, permits, HOA, framing, decking, and railing.", --,"Call for a free structural evaluation in Loudoun, Fairfax, or Prince William County.", --,"Built for homeowners who want a serious replacement, not a small patch repair.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,USD,0.00,20,0,0.00%,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://www.ldndecks.com/services/deck-replacement/, --, --, --, --, --,Resurface Old Deck, --,Composite Deck Upgrade, --,Keep Frame If Safe, --,Call LDN Decks, --,Free Structural Check, --,Trex & TimberTech Boards, --,Permits Included, --,HOA Help Included, --,5.0 Rated Contractor, --,Schedule Inspection, --, --, --, --, --, --, --, --, --, --, --,"We inspect joists, posts, footings, ledger, and beams before recommending resurfacing.", --,"If the frame is solid, resurfacing can deliver a new look at a lower cost.", --,Ideal for homeowners ready to move from worn wood boards to composite decking., --,"Serving Loudoun, Fairfax, and Prince William County with call-first estimates.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines,USD,0.00,7,0,0.00%,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://www.ldndecks.com/services/deck-replacement/, --, --, --, --, --,Wood To Composite Deck, --,Replace Wood With Trex, --,Projects From $15k+, --,Call LDN Decks Today, --,Low-Maintenance Upgrade, --,No More Staining, --,Permits & HOA Handled, --,Free Deck Inspection, --,Trex & TimberTech, --,5.0 Rated Contractor, --, --, --, --, --, --, --, --, --, --, --,Upgrade your old wood deck to composite boards and railings built for NoVA weather., --,"We inspect the frame first, then recommend resurfacing or full replacement.", --,Projects from $15k+. Call for a serious estimate and clear build timeline., --,"Stop sanding and staining. Build a cleaner, safer, low-maintenance outdoor space.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines,USD,0,0,0, --,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://ldndecks.com/, --, --, --, --, --,Composite Deck Repair Experts, --,Trex & Composite Deck Repair, --,Fix Your Composite Deck Fast, --,Trex Deck Repair Near Me, --,Pergolas & Gazebos, --,Wide Range of Services, --,We Do It All, --,Contact Us, --,Custom Outdoor Living Spaces, --,Enhance Your Home's Beauty, --,Patios & Hardscapes, --,"Serving Loudoun County, VA", --,Get a Free Estimate, --,Craft Your Outdoor Oasis, --,"Custom Decks, Built to Last", --,Expert Trex & composite deck repair in Loudoun County. Free estimate. Licensed & insured., --,"We handle all permitting and code compliance, ensuring a smooth and stress-free experience", --,We repair all composite deck brands including Trex & TimberTech. Northern VA specialists., --,Trusted Local Deck Builder Serving Loudoun County in Northern Virginia., --, --, --, --, --, --, --, --, --, --, --,deck-repair,loudoun,, --, --,,Deck Repair - Loudoun County,Composite - Trex Repair,Not eligible,campaign paused,Responsive search ad,Excellent,,USD,122.93,197,7,3.55%,3.46,24.22,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://ldndecks.com/deck-repair/, --, --, --, --, --,LDN Decks Virginia, --,Safety First, --,Check Out Our Reviews, --,We're Here to Help, --,No Obligation, --,Call Us For A Quote, --,Unstable Railings? Fixed, --,Serving Northern Virginia, --,Free Consultations, --,Structural Restoration, --,"Don't Replace, Repair", --,Deck Maintenance Services, --,Residential Deck Builder, --,Get a Free Estimate, --,Bring Back Your Deck's Glory, --,LDN Decks provides homeowners in Northern Virginia with expert deck repair services., --,We offer free consultations and work closely with homeowners to understand their needs., --,Our team is committed to providing the best customer service., --,We provide high-quality repairs that meet modern building codes., --, --, --, --, --, --, --, --, --, --, --,deck-repair,loudoun,, --, --,,Deck Repair - Loudoun County,Deck Contractors Northern VA,Not eligible,campaign paused,Responsive search ad,Pending,,USD,2244.78,22,3,13.64%,16.46,49.39,0.00,0,0.00,33.33%,1.00,49.39
Enabled,https://ldndecks.com/why-choose-us/, --, --, --, --, --,Hamilton VA Deck Builder, --,Deck Builders Near Me, --,Custom Decks Hamilton VA, --,Deck Builder Loudoun County, --,Custom Decks $30K–$80K, --,Licensed Deck Contractor VA, --,Trex Deck Builder Hamilton, --,Free Deck Estimate Today, --,5-Star Deck Builder Hamilton, --,Trex Deck Specialists, --,Composite Deck Experts, --,Licensed & Insured Builders, --,Book Free Consultation Now, --,Build Your Dream Deck Today, --,Deck Contractor Hamilton VA, --,Premium deck builder in Hamilton VA. Custom composite & Trex decks. $30K+ projects., --,Licensed Class A contractor. Serving Hamilton & Loudoun County. Full projects only., --,Expert deck builders in Hamilton. Composite & Trex decks built to last 25+ years., --,Custom decks & porches in Hamilton VA. Free estimate from 5-star deck builders., --, --, --, --, --, --, --, --, --, --, --,deck-builder,hamilton,, --, --,,loudoun decks,Deck Builder - Hamilton,Not eligible,campaign paused,Responsive search ad,Excellent,,USD,136.57,105,2,1.90%,7.17,14.34,0.00,0,0.00,50.00%,1.00,14.34
Enabled,https://ldndecks.com/, --, --, --, --, --,At Prices That Fit Your Budget, --,Find Loudoun Decks Online, --,Loudoun County, --,Free Deck Consultation, --,Deck Builder Loudoun County VA, --,Composite decks, --,Your Local Deck Builder, --,Outdoor living spaces, --,Custom Decks & Repair, --,Loudoun Decks, --,Deck Builder in Virginia, --,Get Started Today, --,Licensed Deck Builder, --,Schedule A Free Consultation, --,Get A Free Estimate, --,Hand Crafted Decks. At Prices That Fit Your Budget. Deck Resurfacing. Gazebo and Pergola, --,Deck Repair and Porches in Loudoun County VA, --,Free Deck Estimates in Loudoun County VA, --,Custom deck builder in Loudoun County VA, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,loudoun decks,Deck Builder - Purcellville,Not eligible,campaign paused,Responsive search ad,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions,USD,726.46,13,1,7.69%,9.44,9.44,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://www.ldndecks.com/services/deck-replacement/, --, --, --, --, --,Deck Resurfacing, --,Save 40-60% If Frame Is Solid, --,Composite Resurfacing, --,Call For Inspection, --,Projects From $15k+, --,Permits & HOA Handled, --,1-2 Week Build Timeline, --,Free Deck Inspection, --,Trex Board Upgrades, --,LDN Decks, --, --, --, --, --, --, --, --, --, --, --,"Keep the frame if it passes inspection, then upgrade boards and railings to composite.", --,Resurfacing can save 40-60% versus full replacement when the structure is sound., --,Call for a free deck inspection and honest resurface vs replacement recommendation., --,"We handle composite boards, railings, permits, HOA details, and cleanup.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines,USD,1710.00,6,1,16.67%,10.26,10.26,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://ldndecks.com/composite-deck-cost-northern-virginia, --, --, --, --, --,Custom Decks $30K–$80K, --,Trex Deck Specialists, --,Not a Handyman Crew, --,Free Deck Estimate Today, --,Premium Deck Builder VA, --,Deck Builders Near Me, --,Composite Deck Experts, --,Loudoun Deck Specialists, --,Deck Replacement Contractor, --,Trex Deck Installer Near Me, --,Custom Deck Builder Near Me, --,Licensed & Insured Builders, --,5-Star Rated Deck Company, --,Trex & TimberTech Experts, --,Build Your Dream Deck Today, --,High-end composite decks for $30K+ projects. Trex & TimberTech. No shortcuts., --,"Full-service deck builder in Northern VA. Custom design, premium build quality.", --,Premium deck contractor in Northern Virginia. Wood & composite. 200+ projects., --,Licensed Class A contractor. Trex & TimberTech specialists. No small repairs., --, --, --, --, --, --, --, --, --, --, --,Composite Decks,Loudoun,, --, --,,Premium Composite Decks,Ad group 1,Not eligible,campaign paused,Responsive search ad,Excellent,,USD,382.58,"4,070",176,4.32%,8.85,1557.09,0.00,0,0.00,3.98%,7.00,222.44
Enabled,https://www.ldndecks.com/services/deck-replacement/, --, --, --, --, --,Upgrade To Composite, --,Replace Old Wood Deck, --,Composite Deck Conversion, --,Call For A Quote, --,Before & After Results, --,HOA Approval Help, --,Typical 2-4 Weeks, --,Premium Deck Builder, --,Free Evaluation, --,Built For NoVA, --, --, --, --, --, --, --, --, --, --, --,We help homeowners decide whether to keep the frame or rebuild the full deck., --,"Composite upgrades include material selection, railing options, stairs, and lighting.", --,"Call LDN Decks for wood-to-composite projects in Loudoun, Fairfax, and Prince William.", --,"Clean process, realistic pricing, and a deck designed for long-term use.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,Eligible,,Responsive search ad,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,USD,0.00,1,0,0.00%,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://ldndecks.com/contact, --, --, --, --, --,Custom Decks in Loudoun County, --,Get Your Free Deck Quote Today, --,Licensed Deck Builders in VA, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Expert deck builders in Loudoun County VA. Custom decks, composite & wood. Free estimate!", --, --, --, --, --, --, --, --,350929420529; 351078162693; 350929420547; 350929420607; 350929420394; 350929420385,351078162654; 351078133089; 350929405934; 351078106341; 350929366139; 351078133029,350929420559; 351078106374; 350929420613; 351078195054; 351078162660; 351008970175; 351078133023; 351078192693,351078595983,Loudoun Decks, --, --, --,Loudoun Decks - Get Free Quote, --, --,, --, --,,Loudoun Decks - Lead Gen - Demand Gen 2026,Loudoun County - Deck Builder - Lead Gen,Not eligible,campaign paused,Demand Gen image ad,Good,Enter another unique description,USD,2.14,"17,192",114,0.66%,0.32,36.82,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://ldndecks.com/contact,Custom Decks in Loudoun County, --, --, --, --,Get Your Free Deck Quote Today, --,Licensed Deck Builders in VA, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Expert deck builders in Loudoun County VA. Custom decks, composite & wood. Free estimate!", --, --, --, --, --, --, --, --, --, --, --,351078595983,Loudoun Decks, --, --, --,(Loudoun Decks - Get Free Quote) auto-generated video ad, --, --,, --, --,,Loudoun Decks - Lead Gen - Demand Gen 2026,Loudoun County - Deck Builder - Lead Gen,Not eligible,campaign paused,Demand Gen video ad,Good, --;Enter another unique description,USD,8.09,"2,897",742,25.61%,0.03,23.44,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://ldndecks.com/, --, --, --, --, --,Deck Builder Loudoun County VA, --,Local Deck Builder, --,Deck Builder in Virginia, --,Licensed Deck Builder, --,Custom Decks & Repair, --,Composite decks, --,Find Loudoun Decks Online, --,Loudoun Decks, --,At Prices That Fit Your Budget, --,Loudoun County, --,Free Deck Consultation, --,Outdoor living spaces, --,Get Started Today, --,Schedule A Free Consultation, --,Get A Free Estimate, --,Deck Builder Loudoun County VA | Custom Decks & Repair, --,"Deck Builder in Northern Virginia Serving Loudoun, Fairfax & Prince William Counties", --,Your Local Deck Builder In Northern Virginia, --,"Composite decks, deck repair, porches and outdoor living spaces", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,Responsive search ad,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions,USD,199.95,85,1,1.18%,17.00,17.00,0.00,0,0.00,0.00%,0.00,0.00
