keyword,search_volume,kd,cpc,competition,intent,competitor_count,best_competitor_position,best_competitor_domain,best_competitor_url,all_competitors,our_position,our_url,opportunity_score,serp_features
timbertech railings,5400,8,0.9800000190734863,1,navigational,1,19,sunburstdeck.com,https://sunburstdeck.com/choose-the-right-timbertech-deck-railing/,sunburstdeck.com #19,,,270.0,"organic, video, people_also_search, popular_products, related_searches, images"
ideas for decking colours,1600,0,0.7799999713897705,1,informational,1,5,deckscapesofva.com,https://deckscapesofva.com/blog/popular-deck-trends,deckscapesofva.com #5,,,266.67,"images, people_also_ask, ai_overview, organic, video, perspectives, related_searches, popular_products"
cost for screened in porch,2900,0,9.869999885559082,0.6700000166893005,commercial,1,10,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #10,,,263.64,"ai_overview, organic, people_also_ask, related_searches, images"
screen in a porch cost,2900,0,9.869999885559082,0.6700000166893005,commercial,1,10,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #10,,,263.64,"ai_overview, organic, people_also_ask, discussions_and_forums, popular_products, video, related_searches, images"
screened in porch cost,2900,0,9.869999885559082,0.6700000166893005,informational,1,10,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #10,,,263.64,"ai_overview, organic, people_also_ask, popular_products, images, related_searches"
fire pits on deck,3600,0,1.2300000190734863,1,transactional,1,13,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #13,,,257.14,"ai_overview, video, people_also_ask, organic, popular_products, discussions_and_forums, related_searches, images"
cost of trex deck,8100,0,2.5299999713897705,0.9900000095367432,commercial,2,31,sunburstdeck.com,https://sunburstdeck.com/trex-decking-cost-and-budget-recommendations/,sunburstdeck.com #31; battlefielddecks.com #51,,,253.12,"ai_overview, organic, people_also_ask, people_also_search, popular_products, related_searches, images"
how wide is a decking board,1000,0,0.38999998569488525,0.699999988079071,informational,1,3,deckguru.com,https://deckguru.com/how-wide-are-deck-boards/,deckguru.com #3,,,250.0,"ai_overview, organic, people_also_ask, images, related_searches"
wood fire pit on wood deck,1000,0,1.440000057220459,1,transactional,1,3,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #3,,,250.0,"ai_overview, organic, people_also_ask, video, discussions_and_forums, images, popular_products, related_searches"
the north deck,4400,0,2.130000114440918,0.05000000074505806,navigational,1,17,northerndeckworks.com,https://www.northerndeckworks.com/,northerndeckworks.com #17,,,244.44,"knowledge_graph, google_reviews, organic, short_videos, images, people_also_ask, related_searches, third_party_reviews"
timbertech or trex,4400,0,1.8600000143051147,0.5299999713897705,navigational,1,17,sunburstdeck.com,https://sunburstdeck.com/trex-vs-timbertech-deck-comparison/,sunburstdeck.com #17,,,244.44,"ai_overview, organic, people_also_ask, discussions_and_forums, video, short_videos, related_searches, popular_products"
multi level deck,2400,0,1.6700000762939453,0.05000000074505806,transactional,1,9,deckscapesofva.com,https://deckscapesofva.com/blog/designing-multi-level-decks-northern-va,deckscapesofva.com #9,,,240.0,"organic, images, video, people_also_ask, perspectives, related_searches"
multi level decks,2400,5,1.6700000762939453,0.05000000074505806,informational,1,9,deckscapesofva.com,https://deckscapesofva.com/blog/designing-multi-level-decks-northern-va,deckscapesofva.com #9,,,240.0,"images, organic, video, people_also_ask, discussions_and_forums, related_searches"
4 season room cost,720,0,7.460000038146973,0.8199999928474426,informational,1,2,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #2,,,240.0,"ai_overview, organic, people_also_ask, discussions_and_forums, video, images, related_searches"
4-season room cost,720,0,7.460000038146973,0.8199999928474426,transactional,1,2,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #2,,,240.0,"ai_overview, organic, people_also_ask, discussions_and_forums, images, video, related_searches"
four season room cost,720,0,7.460000038146973,0.8199999928474426,informational,1,2,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #2,,,240.0,"ai_overview, organic, people_also_ask, video, related_searches, google_reviews, knowledge_graph, images"
four-season room cost,720,0,7.460000038146973,0.8199999928474426,commercial,1,2,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #2,,,240.0,"ai_overview, organic, people_also_ask, video, related_searches"
deck builder fairfax va,480,0,19.639999389648438,0.029999999329447746,commercial,10,1,deckscapesofva.com,https://deckscapesofva.com/,deckscapesofva.com #1; coreoutdoor.com #4; fairfaxcontractor.com #5; battlefielddecks.com #6; prodeckconstructionva.com #9; fortress.builders #10; steadfastinc.com #11; northerndeckworks.com #24; velerodeckdesigns.com #27; deckbuildersinc.com #57,,,240.0,"local_pack, organic, related_searches"
deckscapes of virginia,480,14,13.739999771118164,0.25,informational,6,1,deckscapesofva.com,https://deckscapesofva.com/,deckscapesofva.com #1; battlefielddecks.com #25; coreoutdoor.com #26; nvdeck.com #32; northerndeckworks.com #34; decksva.com #37,,,240.0,"organic, related_searches, third_party_reviews, google_reviews, knowledge_graph, images"
deck fire pit safety,480,0,1.3300000429153442,1,transactional,1,1,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #1,,,240.0,"featured_snippet, people_also_ask, organic, video, short_videos, popular_products, related_searches"
cost for trex deck,8100,0,2.5299999713897705,0.9900000095367432,commercial,2,33,sunburstdeck.com,https://sunburstdeck.com/trex-decking-cost-and-budget-recommendations/,sunburstdeck.com #33; battlefielddecks.com #52,,,238.24,"ai_overview, organic, people_also_ask, discussions_and_forums, related_searches"
cost of trex decking,8100,0,2.5299999713897705,0.9900000095367432,commercial,2,33,sunburstdeck.com,https://sunburstdeck.com/trex-decking-cost-and-budget-recommendations/,sunburstdeck.com #33; battlefielddecks.com #55,,,238.24,"ai_overview, people_also_ask, organic, related_searches, popular_products, images"
custom deck builders near me,1900,30,10.899999618530273,0.25,commercial,1,7,battlefielddecks.com,https://battlefielddecks.com/,battlefielddecks.com #7,,,237.5,"local_pack, organic, people_also_ask, related_searches"
fence connection,1600,7,6.690000057220459,0.3400000035762787,transactional,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/,fenceanddeckconnection.com #6,,,228.57,"organic, related_searches, images, popular_products"
trex vs timbertech,4400,0,1.8600000143051147,0.5299999713897705,informational,1,19,sunburstdeck.com,https://sunburstdeck.com/trex-vs-timbertech-deck-comparison/,sunburstdeck.com #19,,,220.0,"ai_overview, organic, video, people_also_ask, discussions_and_forums, related_searches, images"
three seasons room cost,880,0,8.920000076293945,0.9399999976158142,informational,1,3,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #3,,,220.0,"ai_overview, organic, people_also_ask, discussions_and_forums, related_searches"
trex decking cost,8100,0,2.5299999713897705,0.9900000095367432,commercial,2,36,sunburstdeck.com,https://sunburstdeck.com/trex-decking-cost-and-budget-recommendations/,sunburstdeck.com #36; battlefielddecks.com #55,,,218.92,"ai_overview, popular_products, people_also_ask, organic, related_searches, images"
how much does a screened in porch cost,1300,0,8.5600004196167,0.6399999856948853,informational,1,5,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #5,,,216.67,"featured_snippet, people_also_ask, organic, people_also_search, related_searches"
patios and decking,5400,9,4.130000114440918,1,commercial,1,24,coreoutdoor.com,https://www.coreoutdoor.com/,coreoutdoor.com #24,,,216.0,"local_pack, people_also_ask, images, organic, video, related_searches, popular_products"
trex deck cost,8100,0,2.5299999713897705,0.9900000095367432,commercial,2,37,sunburstdeck.com,https://sunburstdeck.com/trex-decking-cost-and-budget-recommendations/,sunburstdeck.com #37; battlefielddecks.com #40,,,213.16,"ai_overview, organic, people_also_ask, popular_products, perspectives, related_searches, images"
virginia railings,4400,0,3.559999942779541,0,transactional,1,20,fairfaxcontractor.com,https://fairfaxcontractor.com/wrought-iron-rail-fabricator-northern-virginia/,fairfaxcontractor.com #20,,,209.52,"organic, local_pack, people_also_ask, related_searches, images"
4 season sunroom,5400,2,6.420000076293945,0.9100000262260437,transactional,1,25,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #25,,,207.69,"ai_overview, organic, people_also_ask, images, video, related_searches, google_reviews, knowledge_graph"
price of screened-in porch,2900,0,9.869999885559082,0.6700000166893005,commercial,1,13,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #13,,,207.14,"ai_overview, organic, people_also_ask, popular_products, related_searches"
cleaning composite decking,6600,3,0.41999998688697815,0.9800000190734863,commercial,1,32,deckguru.com,https://deckguru.com/how-to-clean-a-composite-deck/,deckguru.com #32,,,200.0,"ai_overview, organic, people_also_ask, video, discussions_and_forums, related_searches, images"
timbertech vs trex,4400,0,1.8600000143051147,0.5299999713897705,informational,1,21,sunburstdeck.com,https://sunburstdeck.com/trex-vs-timbertech-deck-comparison/,sunburstdeck.com #21,,,200.0,"ai_overview, organic, people_also_ask, video, discussions_and_forums, related_searches, images"
mortar in cement,3600,11,0.20000000298023224,0.75,informational,1,17,fairfaxcontractor.com,https://fairfaxcontractor.com/types-of-mortar/,fairfaxcontractor.com #17,,,200.0,"images, people_also_ask, organic, popular_products, video, related_searches"
multilevel deck,2400,0,1.6700000762939453,0.05000000074505806,informational,1,11,deckscapesofva.com,https://deckscapesofva.com/blog/designing-multi-level-decks-northern-va,deckscapesofva.com #11,,,200.0,"images, organic, people_also_ask, video, related_searches"
commercial fences,1000,24,11.539999961853027,0.6700000166893005,commercial,1,4,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/commercial-fencing/,fenceanddeckconnection.com #4,,,200.0,"local_pack, organic, images, popular_products, related_searches"
board on batten fence,590,0,1.340000033378601,0.49000000953674316,transactional,1,2,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/board-and-batten/,fenceanddeckconnection.com #2,,,196.67,"ai_overview, video, people_also_ask, organic, related_searches, images"
steadfast construction,590,0,9.65999984741211,0.15000000596046448,informational,1,2,steadfastinc.com,https://www.steadfastinc.com/about,steadfastinc.com #2,,,196.67,"local_pack, organic, related_searches"
stoneridge outdoor living,390,13,13.350000381469727,0.5099999904632568,navigational,2,1,stoneridgeoutdoor.com,https://www.stoneridgeoutdoor.com/,stoneridgeoutdoor.com #1; coreoutdoor.com #16,,,195.0,"local_pack, organic, people_also_ask, related_searches"
