Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
deck building companies,USD,10,0%,-67%,Medium,60,,,20%,,,Y,,10,10,10,10,10,10,10,10,0,10,10,10
patio deck builders near me,USD,10,0%,-100%,Unknown,,,,,,,Y,,0,0,0,0,10,0,0,0,0,0,0,0
deck builders reviews,USD,10,0%,0%,Medium,39,,,,,,,,10,10,10,10,0,0,10,0,0,10,0,10
composite deck contractors near me,USD,10,0%,-50%,Medium,36,,,,,,Y,,30,10,10,10,10,0,10,0,10,10,0,10
deck design,USD,110,22%,-35%,High,82,2.38,6.69,11%,,,Y,,170,140,140,140,90,110,140,110,50,90,70,110
deck construction companies near me,USD,10,0%,-67%,Low,9,,,,,,Y,,20,10,10,10,70,20,10,0,0,10,10,10
porch builders near me,USD,260,0%,125%,Medium,38,8.48,30.51,10%,,,,,70,210,260,50,320,480,590,720,390,90,20,90
deck and porch contractors near me,USD,10,0%,0%,Low,0,,,,,,Y,,0,10,0,0,10,0,0,0,0,10,10,10
trex deck builder,USD,20,100%,-33%,Low,10,,,,,,Y,,10,20,20,10,30,50,10,10,40,10,10,20
deck cost,USD,30,100%,-71%,High,77,2.63,7.14,25%,,,Y,,40,70,50,30,40,30,20,20,10,10,20,20
deck rebuild near me,USD,10,0%,0%,High,71,22.41,45.04,,,,Y,,10,10,10,10,10,0,10,10,10,10,10,10
deck restoration near me,USD,10,200%,-40%,Medium,62,15.43,35.66,20%,,,Y,,20,20,20,10,20,10,10,10,10,10,10,30
local deck contractors,USD,10,0%,0%,Low,0,,,,,,Y,,30,20,20,10,10,10,0,0,0,10,0,10
deck building contractors near me,USD,10,0%,?,High,100,,,10%,,,Y,,10,10,0,0,10,0,10,0,0,10,0,10
wood deck repair near me,USD,10,0%,0%,Low,24,,,,,,Y,,10,10,10,10,0,10,10,10,0,10,10,10
trex deck installers near me,USD,10,0%,0%,High,95,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,10,10
porch installation near me,USD,10,?,-98%,Low,0,,,,,,,,140,10,10,10,0,10,10,0,0,0,0,10
deck and patio contractors,USD,10,-50%,-50%,Low,0,,,,,,Y,,50,20,30,10,10,10,10,0,10,20,10,10
deck and porch builders,USD,10,?,0%,Low,25,,,,,,Y,,10,0,10,0,10,0,0,0,10,0,10,10
trex installers near me,USD,10,?,0%,High,100,,,10%,,,Y,,10,10,10,10,10,10,10,0,0,0,10,10
deck design tool,USD,10,0%,-50%,Medium,58,1.46,8.6,,,,,,20,20,20,10,10,20,10,10,10,10,10,10
deck installation companies,USD,10,?,?,Low,17,,,,,,Y,,0,0,0,0,0,10,10,0,10,0,0,10
deck repair near me,USD,140,271%,-19%,High,93,10.26,33.07,42%,,,Y,,320,210,260,140,170,170,110,50,20,70,50,260
deck building plans,USD,10,100%,0%,Medium,51,1.33,5.34,5%,,,,,20,20,20,10,10,10,20,10,10,10,10,20
deck repair companies near me,USD,10,0%,0%,Medium,64,4.8,19.68,40%,,,Y,,10,0,10,10,20,10,10,10,10,10,10,10
trex deck designer,USD,90,120%,267%,Low,13,0.75,6.84,2%,,,Y,,90,70,90,260,140,140,90,50,20,50,50,110
wood deck repair contractors near me,USD,10,?,0%,Medium,43,,,,,,Y,,10,10,0,10,10,0,10,0,0,0,10,10
cost to build a deck,USD,30,100%,-20%,Medium,53,2.91,7.27,13%,,,Y,,30,70,50,40,30,40,30,20,20,20,20,40
home deck builders near me,USD,10,0%,-100%,Unknown,,,,,,,Y,,10,0,0,10,10,0,0,0,0,0,0,0
patio deck contractors near me,USD,20,-86%,-33%,High,75,31.07,63.6,10%,,,,,40,30,10,10,20,10,10,10,10,140,10,20
deck replacement cost,USD,50,75%,0%,Medium,54,2.74,20.56,10%,,,Y,,70,90,50,90,70,40,50,30,20,40,40,70
amish deck builders,USD,10,?,?,Medium,54,5.08,13.12,10%,,,,,10,10,10,10,10,10,10,0,0,0,10,10
cheap deck builders near me,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,10,0,0,0,0,0
outdoor deck contractors near me,USD,10,?,0%,Medium,50,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,10
deck professionals near me,USD,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,10,10,10,10,10,0,0,0
deck replacement companies near me,USD,10,?,-67%,Medium,50,,,,,,Y,,10,10,0,10,10,10,0,10,0,0,10,10
best deck companies near me,USD,10,-50%,-50%,High,88,14.71,46.68,60%,,,,,30,10,10,10,10,10,10,10,10,20,10,10
deck estimates near me,USD,10,?,?,Medium,62,,,10%,,,Y,,10,0,0,10,0,10,0,10,0,0,10,10
decks and porches near me,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,10,10,0,10,0
new deck cost,USD,20,100%,-33%,Medium,65,3.47,12.89,30%,,,Y,,40,50,30,30,30,20,10,10,10,10,10,20
porch builder,USD,2900,0%,-40%,Low,16,8.85,19.1,3%,,,Y,,40,40,50,70,4400,5400,6600,12100,5400,30,10,30
deck installation companies near me,USD,20,50%,0%,Medium,53,14.85,50,33%,,,Y,,40,20,10,10,20,20,10,10,10,20,90,30
patio company near me,USD,260,0%,-93%,Medium,62,17.91,59.28,5%,,,,,390,170,260,70,260,320,390,480,210,110,210,110
top rated deck builders near me,USD,10,?,0%,High,80,,,,,,,,10,0,10,10,10,0,10,0,10,0,10,10
deck planner,USD,70,200%,0%,Medium,44,1.76,5.5,3%,,,,,110,90,110,110,70,70,70,40,30,30,50,90
porch and deck contractors near me,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,10,0,0,0,0,0,0,0,0
deck and fence company,USD,20,100%,-33%,High,93,4.31,37.62,5%,,,Y,,50,30,50,20,10,10,20,10,10,10,10,20
deck experts near me,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,10,0,10,0,0,0,0,0
deck specialists near me,USD,10,0%,0%,Low,32,,,30%,,,,,10,10,10,10,0,10,10,10,10,10,30,10
deck installation cost,USD,20,300%,100%,Medium,39,4.65,27.27,8%,,,,,30,40,30,30,20,20,20,10,10,10,20,40
covered deck builders near me,USD,10,0%,0%,Unknown,,,,,,,,,20,10,0,0,10,10,0,0,0,0,0,0
best deck installers near me,USD,10,?,0%,Medium,57,,,10%,,,Y,,10,0,0,0,10,0,0,0,0,0,10,10
deck calculator,USD,90,175%,0%,Low,31,1.43,5.16,5%,,,,,110,140,110,90,110,90,110,30,30,40,50,110
outdoor deck builders,USD,10,?,?,High,100,,,10%,,,Y,,0,0,0,0,0,0,0,20,10,0,0,10
deck quote,USD,10,?,0%,High,80,12.44,59.93,50%,,,,,10,10,10,10,10,10,10,10,0,0,10,10
deck repair,USD,170,55%,-47%,Medium,62,6.06,23.67,23%,,,Y,,390,210,210,210,170,140,140,90,50,110,50,170
deck plans free,USD,10,0%,-50%,Medium,66,2.29,6.67,,,,,,20,20,20,30,10,10,10,10,10,10,10,10
deck porch builders near me,USD,10,?,?,High,100,,,,,,Y,,0,0,10,10,0,0,0,0,0,0,0,10
free deck designer,USD,10,0%,0%,Medium,51,1.49,7.81,30%,,,,,10,10,10,10,10,10,10,10,10,10,10,10
online deck designer,USD,10,0%,0%,High,77,1.73,4.82,10%,,,,,10,10,10,10,10,10,10,10,10,10,10,10
deck financing near me,USD,10,0%,0%,Low,17,,,10%,,,,,10,0,10,0,0,10,0,0,0,10,10,10
trex contractors,USD,10,0%,0%,Low,24,,,,,,Y,,10,10,10,10,10,0,10,10,10,10,10,10
trex decking contractors near me,USD,10,?,0%,High,100,,,,,,Y,,10,10,10,0,0,10,0,10,10,0,0,10
trex decking installers near me,USD,10,0%,0%,High,95,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,10,10
deck design near me,USD,10,-80%,0%,Low,29,,,,,,,,10,10,10,10,20,0,0,0,0,50,0,10
composite deck builders,USD,10,0%,0%,Low,10,,,,,,Y,,30,20,20,10,20,10,10,10,10,10,10,10
deck rebuild contractor,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
contractors for decks near me,USD,10,?,?,Low,29,,,,,,,,0,0,10,10,0,0,0,0,0,0,0,10
deck estimate,USD,10,0%,0%,High,86,7.7,32.85,60%,,,,,10,10,10,10,10,10,0,10,10,10,10,10
deck makers near me,USD,10,?,?,Low,0,,,,,,,,0,0,10,0,0,0,0,0,0,0,10,10
design a deck online free,USD,10,?,0%,Medium,62,1.15,5.33,,,,,,10,10,10,10,10,10,10,10,10,0,0,10
deck repair services near me,USD,10,0%,0%,High,93,,,10%,,,Y,,50,0,10,10,10,0,10,0,0,10,0,10
covered deck contractors near me,USD,10,?,?,High,71,,,,,,,,10,0,10,0,10,10,0,0,0,0,0,10
deck services,USD,10,0%,0%,Medium,60,,,,,,Y,,10,10,10,10,10,30,30,10,0,10,10,10
deck renovation,USD,20,300%,0%,High,69,11.2,30,8%,,,Y,,40,30,30,30,30,10,10,10,10,10,10,40
deck builders that offer financing,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,10,0,0,0,0,0,0
back porch builders near me,USD,10,?,?,Low,0,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,10
i need a deck built,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
timbertech deck designer,USD,10,0%,0%,Low,24,,,,,,,,10,10,10,10,10,20,10,10,10,10,10,10
covered patio builders near me,USD,10,0%,?,Medium,37,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,10
patio deck,USD,90,120%,-48%,High,90,3.49,16.74,13%,,,,,140,140,110,110,140,70,70,50,40,50,70,110
deck cost calculator,USD,20,100%,100%,Medium,35,2.75,5.12,5%,,,,,20,20,30,30,20,20,10,10,10,10,10,20
outdoor deck,USD,30,300%,-20%,High,98,2.41,11.94,13%,,,,,40,40,40,50,30,20,30,10,20,10,10,40
diy deck,USD,20,200%,50%,High,94,0.58,4.5,,,,,,50,40,20,30,20,20,20,20,10,10,10,30
top deck builders near me,USD,10,?,0%,High,100,,,30%,,,,,30,10,20,0,10,0,10,0,0,0,10,10
deck pricing,USD,10,0%,-50%,High,69,2.82,6.06,,,,,,20,20,20,20,20,10,10,10,10,10,10,10
professional deck builder,USD,10,?,0%,Low,29,,,,,,Y,,10,10,10,10,10,10,0,10,10,0,10,10
patio builders in my area,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,0,0,0,0,0,0,0,0
deck experts,USD,10,-100%,-100%,Unknown,,,,,,,Y,,10,10,10,10,10,0,0,10,0,10,0,0
outdoor deck installers near me,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
affordable decks near me,USD,10,?,?,High,71,,,,,,,,10,0,10,0,0,0,0,0,10,0,0,10
deck financing,USD,10,0%,0%,High,79,5.96,23.19,10%,,,,,10,10,10,10,10,10,10,0,10,10,10,10
deck estimate cost,USD,10,0%,-50%,High,86,2.55,8.56,10%,,,,,20,20,10,10,10,10,10,10,10,10,10,10
front porch builders near me,USD,10,0%,0%,Low,20,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
deck and screened porch contractors near me,USD,10,?,0%,Low,0,,,,,,Y,,0,10,10,10,0,0,0,0,0,0,10,10
trex installers,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
deck builders near me reviews,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
backyard deck,USD,50,0%,0%,High,99,2.66,8.1,10%,,,Y,,70,50,50,70,70,30,50,50,20,40,20,40
deck blueprints,USD,70,200%,0%,Medium,44,1.76,5.5,3%,,,,,110,90,110,110,70,70,70,40,30,30,50,90
average cost to build a deck,USD,10,0%,0%,Medium,54,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,10,10
loudoun deck,USD,40,750%,143%,Low,28,5.8,27.58,64%,,,Y,,70,50,30,20,10,10,10,10,10,20,20,170
patio deck builders,USD,10,0%,?,Medium,60,,,,,,Y,,10,10,10,0,10,10,10,0,10,10,10,10
composite decking companies near me,USD,10,?,?,High,100,,,,,,Y,,0,10,0,0,0,10,0,0,0,0,10,10
deck materials,USD,110,180%,-18%,High,90,1.36,4.86,7%,,,Y,,170,210,140,170,170,140,110,50,70,50,70,140
free deck design tool,USD,20,100%,0%,Medium,65,1.78,8.28,,,,,,10,20,30,20,20,10,10,10,20,10,10,20
deck and patio,USD,90,120%,-48%,High,90,3.49,16.74,13%,,,Y,,140,140,110,110,140,70,70,50,40,50,70,110
deck material calculator,USD,20,100%,0%,Medium,46,1.49,5.61,5%,,,,,40,20,20,20,10,10,20,10,10,10,10,20
deck renovation contractors near me,USD,10,0%,?,Low,0,,,,,,,,10,10,10,0,10,0,10,0,10,10,10,10
deck ideas,USD,140,240%,-35%,High,99,1.31,4.59,6%,,,,,260,260,170,140,140,140,110,70,30,50,40,170
patio decks near me,USD,10,0%,-67%,Medium,38,,,10%,,,,,40,20,10,10,10,10,10,10,10,10,10,10
deck repair cost,USD,20,200%,50%,Low,14,2.2,5.3,3%,,,,,30,30,40,40,30,20,20,20,10,10,20,30
build a deck near me,USD,10,0%,0%,Unknown,,,,,,,Y,,10,0,10,10,10,0,0,0,10,0,0,0
trex deck contractors,USD,20,100%,100%,Low,3,,,,,,,,40,40,40,30,30,20,10,10,10,10,10,20
average deck cost,USD,10,0%,-67%,Medium,63,2.3,12.3,10%,,,Y,,20,20,10,10,10,20,10,10,10,10,10,10
deck remodeling contractors near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
trex deck repair near me,USD,10,?,0%,High,86,,,30%,,,Y,,10,10,10,10,10,10,10,10,0,0,10,10
trex deck planner,USD,10,0%,0%,Medium,39,1.96,8.28,,,,,,10,10,10,10,10,20,20,10,10,10,10,10
small deck builders near me,USD,10,?,?,High,86,,,10%,,,,,10,10,0,0,10,0,0,0,0,0,0,10
patio contractor,USD,2900,67%,0%,Low,32,20.98,54,,,,,,30,50,50,50,4400,5400,6600,14800,5400,30,10,50
companies that build decks near me,USD,10,0%,?,Low,0,,,,,,,,0,0,10,0,0,0,10,0,0,10,10,10
deck building calculator,USD,90,175%,0%,Low,31,1.43,5.16,5%,,,,,110,140,110,90,110,90,110,30,30,40,50,110
deck pros near me,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
backyard builders,USD,10,0%,0%,Low,29,,,,,,,,10,20,10,20,10,10,10,10,10,10,10,10
deck price calculator,USD,10,0%,-50%,High,86,2.55,8.56,10%,,,,,20,20,10,10,10,10,10,10,10,10,10,10
new deck,USD,20,200%,200%,Medium,52,4.17,12.85,3%,,,Y,,20,40,20,10,30,10,10,10,10,10,10,30
timber tech near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,10,10,10,0,0,0,0,0,0,0
deck installers in my area,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,10,0,0,0,0,0,0,0,0,0
deck design plans,USD,10,100%,100%,High,67,3.05,8.75,,,,,,10,10,20,10,10,10,10,10,10,10,10,20
backyard deck cost,USD,10,?,0%,High,100,,,,,,Y,,0,10,0,10,10,10,0,10,10,0,0,10
cheap deck repair near me,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,0,10,10,0,0,0,10,0,0,0
backyard deck builders,USD,10,0%,0%,Low,29,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,0,10
deck repair fairfax,USD,70,0%,40%,Medium,34,8.99,36.54,6%,,,,,50,30,110,170,70,50,70,30,70,70,170,70
need a deck built,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
labor cost to build a deck calculator,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,10,0,0,0,0
deck patio builders near me,USD,10,0%,-100%,Unknown,,,,,,,Y,,0,10,0,10,10,0,0,0,10,0,0,0
deck builders with financing,USD,10,?,?,High,86,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,10
covered porch builders near me,USD,10,0%,0%,Unknown,,,,,,,,,10,0,20,10,0,0,0,0,10,0,0,0
back deck builders near me,USD,10,?,?,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
local deck repair,USD,10,0%,?,High,75,,,60%,,,Y,,10,0,10,0,0,0,0,10,10,10,0,10
deck plus,USD,10,0%,0%,Medium,52,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
deck companies with financing,USD,10,?,?,High,86,,,,,,,,0,10,0,10,0,10,0,10,0,0,0,10
deck repair stafford va,USD,10,0%,0%,High,80,,,,,,,,20,20,20,20,40,20,10,10,10,10,10,10
porch construction near me,USD,10,0%,-100%,Unknown,,,,,,,,,10,10,0,10,10,10,10,10,10,0,10,0
patio and deck builders,USD,10,50%,200%,Medium,34,15.16,30.83,7%,,,Y,,10,20,10,10,10,10,20,10,10,20,10,30
deck roof builders near me,USD,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
contractor to build a deck,USD,10,?,0%,High,86,,,,,,,,10,0,0,10,0,10,0,0,0,0,0,10
best deck repair near me,USD,10,0%,0%,High,75,10.42,22.01,60%,,,Y,,10,10,10,10,10,0,10,0,10,10,10,10
deck resurfacing,USD,40,150%,67%,High,82,3.83,17.11,48%,,,Y,,70,90,70,50,40,30,20,10,10,20,20,50
licensed deck builders near me,USD,10,-100%,0%,Unknown,,,,,,,,,10,0,0,10,0,0,0,0,0,10,0,0
deck construction cost,USD,30,100%,-20%,Medium,53,2.91,7.27,13%,,,,,30,70,50,40,30,40,30,20,20,20,20,40
deck repair in my area,USD,10,?,0%,Medium,62,,,20%,,,,,10,0,0,0,10,10,0,0,10,0,10,10
composite deck installation near me,USD,10,0%,0%,Low,20,,,,,,Y,,10,0,0,0,0,10,10,0,0,10,10,10
composite deck cost calculator,USD,10,0%,0%,Medium,49,1.89,6.28,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
deck builder online,USD,10,0%,0%,Medium,43,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,10
decking companies in my area,USD,10,-100%,0%,Unknown,,,,,,,Y,,20,40,30,0,10,10,0,10,10,10,10,0
backyard deck contractors near me,USD,10,0%,?,High,100,,,20%,,,,,0,0,10,0,0,0,0,0,0,10,0,10
deck rebuild cost,USD,10,?,0%,High,86,,,10%,,,Y,,10,10,10,10,10,10,10,10,0,0,10,10
deck and porch repair near me,USD,10,?,?,High,100,,,,,,Y,,10,0,0,10,0,0,0,0,0,0,0,10
trex decking installation near me,USD,10,?,?,High,86,,,,,,,,30,10,0,10,10,0,0,0,0,0,0,10
wood deck companies near me,USD,10,0%,0%,Unknown,,,,,,,Y,,10,0,0,0,0,0,0,0,0,0,10,0
deck railing contractors near me,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,10,0,0,0,0
contractor for deck building,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck and pergola builders near me,USD,10,0%,0%,Low,0,,,,,,,,0,0,10,0,0,0,0,0,10,10,10,10
porch and patio contractors near me,USD,10,-100%,0%,Unknown,,,,,,,,,10,10,10,0,0,10,10,0,10,10,0,0
deck layout tool,USD,10,?,?,Medium,38,,,,,,,,10,0,10,10,10,10,0,10,0,0,10,10
design your own deck,USD,10,?,?,High,71,,,,,,,,10,10,0,10,0,0,0,10,0,0,0,10
3d deck design,USD,10,0%,0%,Low,6,,,,,,,,10,10,10,0,10,0,10,10,10,10,10,10
home deck builders,USD,10,0%,?,High,100,,,10%,,,Y,,0,10,0,0,0,0,10,0,0,10,0,10
deck and fence company near me,USD,10,-100%,-100%,Unknown,,,,,,,Y,,110,10,10,10,10,10,10,10,10,10,10,0
deck renovation cost,USD,10,0%,0%,Medium,43,11.5,34.97,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
