Campaign,Ad group,Keyword,Match type,Final URL,Status
SRCH | Composite | 3 Counties | Calls,Trex,trex deck builder,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,cost to build composite deck,Phrase,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,composite deck price,Phrase,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,trex deck cost,Phrase,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,timbertech deck cost,Phrase,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,azek deck cost,Phrase,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,composite deck cost loudoun county,Phrase,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,composite deck cost fairfax county,Phrase,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,composite deck cost,Exact,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,cost to build composite deck,Exact,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,trex deck cost,Exact,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,timbertech deck cost,Exact,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,azek deck cost,Exact,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builders near me,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builder near me,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,custom deck builders near me,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builders loudoun county,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builders fairfax county,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builders prince william county,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builder loudoun county,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builder fairfax county,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builder prince william county,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builders near me,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builder near me,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,custom deck builders near me,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builders loudoun county,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builders fairfax county,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Builders Near Me,deck builders prince william county,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck contractors near me,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck contractor near me,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck companies near me,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck company near me,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck construction near me,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck installation near me,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck contractor loudoun county,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck contractor fairfax county,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck contractor prince william county,Phrase,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck contractors near me,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck contractor near me,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck companies near me,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck construction near me,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck installation near me,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Contractors Near Me,deck contractor loudoun county,Exact,https://www.ldndecks.com/deck-builders-loudoun/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement contractor,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement company,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement near me,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,replace old deck,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,wood deck replacement,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck rebuild contractor,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement loudoun county,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement fairfax county,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement prince william county,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement contractor,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck replacement near me,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,replace old deck,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,deck rebuild contractor,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck resurfacing,Phrase,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck resurfacing contractor,Phrase,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck resurfacing near me,Phrase,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,resurface deck with composite,Phrase,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck resurfacing company,Phrase,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,composite deck resurfacing,Phrase,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck board replacement composite,Phrase,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck resurfacing loudoun county,Phrase,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck resurfacing fairfax county,Phrase,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck resurfacing,Exact,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck resurfacing contractor,Exact,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,deck resurfacing near me,Exact,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,resurface deck with composite,Exact,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,composite deck resurfacing,Exact,https://www.ldndecks.com/services/deck-resurfacing/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,replace wood deck with composite,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,wood to composite deck,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,convert wood deck to composite,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,replace deck boards with composite,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,upgrade wood deck to composite,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,replace pressure treated deck with composite,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,wood deck to trex,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,replace wood deck with trex,Phrase,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,replace wood deck with composite,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,wood to composite deck,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,convert wood deck to composite,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,replace deck boards with composite,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,wood deck to trex,Exact,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Exact,ldn decks,Exact,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Exact,loudoun decks,Exact,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Exact,loudon decks,Exact,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Exact,ldndecks,Exact,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Exact,loudoun deck company,Exact,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Phrase,ldn decks reviews,Phrase,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Phrase,loudoun decks reviews,Phrase,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Phrase,ldn decks phone number,Phrase,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Phrase,loudoun decks phone number,Phrase,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Phrase,ldn decks estimate,Phrase,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Phrase,loudoun decks estimate,Phrase,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Phrase,ldn decks contact,Phrase,https://www.ldndecks.com/contact/,Paused
SRCH | Branded | 3 Counties | Calls,Brand Phrase,loudoun decks contact,Phrase,https://www.ldndecks.com/contact/,Paused
